County,State,Population
Autauga,Alabama,55869
Baldwin,Alabama,223234
Barbour,Alabama,24686
Bibb,Alabama,22394
Blount,Alabama,57826
Bullock,Alabama,10101
Butler,Alabama,19448
Calhoun,Alabama,113605
Chambers,Alabama,33254
Cherokee,Alabama,26196
Chilton,Alabama,44428
Choctaw,Alabama,12589
Clarke,Alabama,23622
Clay,Alabama,13235
Cleburne,Alabama,14910
Coffee,Alabama,52342
Colbert,Alabama,55241
Conecuh,Alabama,12067
Coosa,Alabama,10663
Covington,Alabama,37049
Crenshaw,Alabama,13772
Cullman,Alabama,83768
Dale,Alabama,49172
Dallas,Alabama,37196
DeKalb,Alabama,71513
Elmore,Alabama,81209
Escambia,Alabama,36633
Etowah,Alabama,102268
Fayette,Alabama,16302
Franklin,Alabama,31362
Geneva,Alabama,26271
Greene,Alabama,8111
Hale,Alabama,14651
Henry,Alabama,17205
Houston,Alabama,105882
Jackson,Alabama,51626
Jefferson,Alabama,658573
Lamar,Alabama,13805
Lauderdale,Alabama,92729
Lawrence,Alabama,32924
Lee,Alabama,164542
Limestone,Alabama,98915
Lowndes,Alabama,9726
Macon,Alabama,18068
Madison,Alabama,372909
Marengo,Alabama,18863
Marion,Alabama,29709
Marshall,Alabama,96774
Mobile,Alabama,413210
Monroe,Alabama,20733
Montgomery,Alabama,226486
Morgan,Alabama,119679
Perry,Alabama,8923
Pickens,Alabama,19930
Pike,Alabama,33114
Randolph,Alabama,22722
Russell,Alabama,57961
St. Clair,Alabama,89512
Shelby,Alabama,217702
Sumter,Alabama,12427
Talladega,Alabama,79978
Tallapoosa,Alabama,40367
Tuscaloosa,Alabama,209355
Walker,Alabama,63521
Washington,Alabama,16326
Wilcox,Alabama,10373
Winston,Alabama,23629
Aleutians East Borough[d],Alaska,3337
Aleutians West Census Area[e],Alaska,5634
"Anchorage, Municipality of[d][f]",Alaska,288000
Bethel Census Area[e],Alaska,18386
Bristol Bay Borough[d],Alaska,836
Chugach Census Area[e],Alaska,6734
Copper River Census Area[e],Alaska,2764
Denali Borough[d],Alaska,2097
Dillingham Census Area[e],Alaska,4916
Fairbanks North Star Borough[d],Alaska,96849
Haines Borough[d],Alaska,2530
Hoonah–Angoon Census Area[e],Alaska,2148
"Juneau, City and Borough of[d][g]",Alaska,31974
Kenai Peninsula Borough[d],Alaska,58708
Ketchikan Gateway Borough[d],Alaska,13901
Kodiak Island Borough[d],Alaska,12998
Kusilvak Census Area[e],Alaska,8314
Lake and Peninsula Borough[d],Alaska,1592
Matanuska-Susitna Borough[d],Alaska,108317
Nome Census Area[e],Alaska,10004
North Slope Borough[d],Alaska,9832
Northwest Arctic Borough[d],Alaska,7621
Petersburg Borough[d][h],Alaska,3266
Prince of Wales – Hyder Census Area[e],Alaska,6203
"Sitka, City and Borough of[d][i]",Alaska,8493
"Skagway, Municipality of[d]",Alaska,1183
Southeast Fairbanks Census Area[e],Alaska,6893
"Wrangell, City and Borough of[d]",Alaska,2502
"Yakutat, City and Borough of[d][j]",Alaska,579
Yukon–Koyukuk Census Area[e],Alaska,5230
Eastern District[12],American Samoa,23030
Manu'a District[12],American Samoa,1143
Rose Atoll (Rose Island)[12],American Samoa,0
Swains Island[12],American Samoa,17
Western District[12],American Samoa,31329
Apache,Arizona,71887
Cochise,Arizona,125922
Coconino,Arizona,143476
Gila,Arizona,54018
Graham,Arizona,38837
Greenlee,Arizona,9498
La Paz,Arizona,21108
Maricopa,Arizona,4485414
Mohave,Arizona,212181
Navajo,Arizona,110924
Pima,Arizona,1047279
Pinal,Arizona,462789
Santa Cruz,Arizona,46498
Yavapai,Arizona,235099
Yuma,Arizona,213787
Arkansas,Arkansas,17486
Ashley,Arkansas,19657
Baxter,Arkansas,41932
Benton,Arkansas,279141
Boone,Arkansas,37432
Bradley,Arkansas,10763
Calhoun,Arkansas,5189
Carroll,Arkansas,28380
Chicot,Arkansas,10118
Clark,Arkansas,22320
Clay,Arkansas,14551
Cleburne,Arkansas,24919
Cleveland,Arkansas,7956
Columbia,Arkansas,23457
Conway,Arkansas,20846
Craighead,Arkansas,110332
Crawford,Arkansas,63257
Crittenden,Arkansas,47955
Cross,Arkansas,16419
Dallas,Arkansas,7009
Desha,Arkansas,11361
Drew,Arkansas,18219
Faulkner,Arkansas,126007
Franklin,Arkansas,17715
Fulton,Arkansas,12477
Garland,Arkansas,99386
Grant,Arkansas,18265
Greene,Arkansas,45325
Hempstead,Arkansas,21532
Hot Spring,Arkansas,33771
Howard,Arkansas,13202
Independence,Arkansas,37825
Izard,Arkansas,13629
Jackson,Arkansas,16719
Jefferson,Arkansas,66824
Johnson,Arkansas,26578
Lafayette,Arkansas,6624
Lawrence,Arkansas,16406
Lee,Arkansas,8857
Lincoln,Arkansas,13024
Little River,Arkansas,12259
Logan,Arkansas,21466
Lonoke,Arkansas,73309
Madison,Arkansas,16576
Marion,Arkansas,16694
Miller,Arkansas,43257
Mississippi,Arkansas,40651
Monroe,Arkansas,6701
Montgomery,Arkansas,8986
Nevada,Arkansas,8252
Newton,Arkansas,7753
Ouachita,Arkansas,23382
Perry,Arkansas,10455
Phillips,Arkansas,17782
Pike,Arkansas,10718
Poinsett,Arkansas,23528
Polk,Arkansas,19964
Pope,Arkansas,64072
Prairie,Arkansas,8062
Pulaski,Arkansas,391911
Randolph,Arkansas,17958
St. Francis,Arkansas,24994
Saline,Arkansas,122437
Scott,Arkansas,10281
Searcy,Arkansas,7881
Sebastian,Arkansas,127827
Sevier,Arkansas,17007
Sharp,Arkansas,17442
Stone,Arkansas,12506
Union,Arkansas,38682
Van Buren,Arkansas,16545
Washington,Arkansas,239187
White,Arkansas,78753
Woodruff,Arkansas,6320
Yell,Arkansas,21341
Alameda,California,1671329
Alpine,California,1129
Amador,California,39752
Butte,California,219186
Calaveras,California,45905
Colusa,California,21547
Contra Costa,California,1153526
Del Norte,California,27812
El Dorado,California,192843
Fresno,California,999101
Glenn,California,28393
Humboldt,California,135558
Imperial,California,181215
Inyo,California,18039
Kern,California,900202
Kings,California,152940
Lake,California,64386
Lassen,California,30573
Los Angeles,California,10039107
Madera,California,157327
Marin,California,258826
Mariposa,California,17203
Mendocino,California,86749
Merced,California,277680
Modoc,California,8841
Mono,California,14444
Monterey,California,434061
Napa,California,137744
Nevada,California,99755
Orange,California,3175692
Placer,California,398329
Plumas,California,18807
Riverside,California,2470546
Sacramento,California,1552058
San Benito,California,62808
San Bernardino,California,2180085
San Diego,California,3338330
"San Francisco, City and County of[k]",California,881549
San Joaquin,California,762148
San Luis Obispo,California,283111
San Mateo,California,766573
Santa Barbara,California,446499
Santa Clara,California,1927852
Santa Cruz,California,273213
Shasta,California,180080
Sierra,California,3005
Siskiyou,California,43539
Solano,California,447643
Sonoma,California,494336
Stanislaus,California,550660
Sutter,California,96971
Tehama,California,65084
Trinity,California,12285
Tulare,California,466195
Tuolumne,California,54478
Ventura,California,846006
Yolo,California,220500
Yuba,California,78668
Adams,Colorado,517421
Alamosa,Colorado,16233
Arapahoe,Colorado,656590
Archuleta,Colorado,14029
Baca,Colorado,3581
Bent,Colorado,5577
Boulder,Colorado,326196
"Broomfield, City and County of[l]",Colorado,70465
Chaffee,Colorado,20356
Cheyenne,Colorado,1831
Clear Creek,Colorado,9700
Conejos,Colorado,8205
Costilla,Colorado,3887
Crowley,Colorado,6061
Custer,Colorado,5068
Delta,Colorado,31162
"Denver, City and County of[m]",Colorado,727211
Dolores,Colorado,2055
Douglas,Colorado,351154
Eagle,Colorado,55127
Elbert,Colorado,26729
El Paso,Colorado,720403
Fremont,Colorado,47839
Garfield,Colorado,60061
Gilpin,Colorado,6243
Grand,Colorado,15734
Gunnison,Colorado,17462
Hinsdale,Colorado,820
Huerfano,Colorado,6897
Jackson,Colorado,1392
Jefferson,Colorado,582881
Kiowa,Colorado,1406
Kit Carson,Colorado,7097
Lake,Colorado,8127
La Plata,Colorado,56221
Larimer,Colorado,356899
Las Animas,Colorado,14506
Lincoln,Colorado,5701
Logan,Colorado,22409
Mesa,Colorado,154210
Mineral,Colorado,769
Moffat,Colorado,13283
Montezuma,Colorado,26183
Montrose,Colorado,42758
Morgan,Colorado,29068
Otero,Colorado,18278
Ouray,Colorado,4952
Park,Colorado,18845
Phillips,Colorado,4265
Pitkin,Colorado,17767
Prowers,Colorado,12172
Pueblo,Colorado,168424
Rio Blanco,Colorado,6324
Rio Grande,Colorado,11267
Routt,Colorado,25638
Saguache,Colorado,6824
San Juan,Colorado,728
San Miguel,Colorado,8179
Sedgwick,Colorado,2248
Summit,Colorado,31011
Teller,Colorado,25388
Washington,Colorado,4908
Weld,Colorado,324492
Yuma,Colorado,10019
Fairfield[n],Connecticut,943332
Hartford[n],Connecticut,891720
Litchfield[n],Connecticut,180333
Middlesex[n],Connecticut,162436
New Haven[n],Connecticut,854757
New London[n],Connecticut,265206
Tolland[n],Connecticut,150721
Windham[n],Connecticut,116782
Kent,Delaware,180786
New Castle,Delaware,558753
Sussex,Delaware,234225
District of Columbia[o],District of Columbia,705749
Alachua,Florida,269043
Baker,Florida,29210
Bay,Florida,174705
Bradford,Florida,28201
Brevard,Florida,601942
Broward,Florida,1952778
Calhoun,Florida,14105
Charlotte,Florida,188910
Citrus,Florida,149657
Clay,Florida,219252
Collier,Florida,384902
Columbia,Florida,71686
DeSoto,Florida,38001
Dixie,Florida,16826
Duval,Florida,957755
Escambia,Florida,318316
Flagler,Florida,115081
Franklin,Florida,12125
Gadsden,Florida,45660
Gilchrist,Florida,18582
Glades,Florida,13811
Gulf,Florida,13639
Hamilton,Florida,14428
Hardee,Florida,26937
Hendry,Florida,42022
Hernando,Florida,193920
Highlands,Florida,106221
Hillsborough,Florida,1471968
Holmes,Florida,19617
Indian River,Florida,159923
Jackson,Florida,46414
Jefferson,Florida,14246
Lafayette,Florida,8422
Lake,Florida,367118
Lee,Florida,770577
Leon,Florida,293582
Levy,Florida,41503
Liberty,Florida,8354
Madison,Florida,18493
Manatee,Florida,403253
Marion,Florida,365579
Martin,Florida,161000
Miami-Dade,Florida,2716940
Monroe,Florida,74228
Nassau,Florida,88625
Okaloosa,Florida,210738
Okeechobee,Florida,42168
Orange,Florida,1393452
Osceola,Florida,375751
Palm Beach,Florida,1496770
Pasco,Florida,553947
Pinellas,Florida,974996
Polk,Florida,724777
Putnam,Florida,74521
St. Johns,Florida,264672
St. Lucie,Florida,328297
Santa Rosa,Florida,184313
Sarasota,Florida,433742
Seminole,Florida,471826
Sumter,Florida,132420
Suwannee,Florida,44417
Taylor,Florida,21569
Union,Florida,15237
Volusia,Florida,553284
Wakulla,Florida,33739
Walton,Florida,74071
Washington,Florida,25473
Appling,Georgia,18386
Atkinson,Georgia,8165
Bacon,Georgia,11164
Baker,Georgia,3038
Baldwin,Georgia,44890
Banks,Georgia,19234
Barrow,Georgia,83240
Bartow,Georgia,107738
Ben Hill,Georgia,16700
Berrien,Georgia,19397
Bibb,Georgia,153159
Bleckley,Georgia,12873
Brantley,Georgia,19109
Brooks,Georgia,15457
Bryan,Georgia,39627
Bulloch,Georgia,79608
Burke,Georgia,22383
Butts,Georgia,24936
Calhoun,Georgia,6189
Camden,Georgia,54666
Candler,Georgia,10803
Carroll,Georgia,119992
Catoosa,Georgia,67580
Charlton,Georgia,13392
Chatham,Georgia,289430
Chattahoochee,Georgia,10907
Chattooga,Georgia,24789
Cherokee,Georgia,258773
Clarke,Georgia,128331
Clay,Georgia,3045
Clayton,Georgia,292256
Clinch,Georgia,6618
Cobb,Georgia,760141
Coffee,Georgia,43273
Colquitt,Georgia,45600
Columbia,Georgia,156714
Cook,Georgia,17270
Coweta,Georgia,148509
Crawford,Georgia,12404
Crisp,Georgia,22372
Dade,Georgia,16116
Dawson,Georgia,26108
Decatur,Georgia,26404
DeKalb,Georgia,759297
Dodge,Georgia,20605
Dooly,Georgia,13390
Dougherty,Georgia,87956
Douglas,Georgia,146343
Early,Georgia,10190
Echols,Georgia,4006
Effingham,Georgia,64296
Elbert,Georgia,19194
Emanuel,Georgia,22646
Evans,Georgia,10654
Fannin,Georgia,26188
Fayette,Georgia,114421
Floyd,Georgia,98498
Forsyth,Georgia,244252
Franklin,Georgia,23349
Fulton,Georgia,1063937
Gilmer,Georgia,31369
Glascock,Georgia,2971
Glynn,Georgia,85292
Gordon,Georgia,57963
Grady,Georgia,24633
Greene,Georgia,18324
Gwinnett,Georgia,936250
Habersham,Georgia,45328
Hall,Georgia,204441
Hancock,Georgia,8457
Haralson,Georgia,29792
Harris,Georgia,35236
Hart,Georgia,26205
Heard,Georgia,11923
Henry,Georgia,234561
Houston,Georgia,157863
Irwin,Georgia,9416
Jackson,Georgia,72977
Jasper,Georgia,14219
Jeff Davis,Georgia,15115
Jefferson,Georgia,15362
Jenkins,Georgia,8676
Johnson,Georgia,9643
Jones,Georgia,28735
Lamar,Georgia,19077
Lanier,Georgia,10423
Laurens,Georgia,47546
Lee,Georgia,29992
Liberty,Georgia,61435
Lincoln,Georgia,7921
Long,Georgia,19559
Lowndes,Georgia,117406
Lumpkin,Georgia,33610
McDuffie,Georgia,21312
McIntosh,Georgia,14378
Macon,Georgia,12947
Madison,Georgia,29880
Marion,Georgia,8359
Meriwether,Georgia,21167
Miller,Georgia,5718
Mitchell,Georgia,21863
Monroe,Georgia,27578
Montgomery,Georgia,9172
Morgan,Georgia,19276
Murray,Georgia,40096
Muscogee,Georgia,195769
Newton,Georgia,111744
Oconee,Georgia,40280
Oglethorpe,Georgia,15259
Paulding,Georgia,168667
Peach,Georgia,27546
Pickens,Georgia,32591
Pierce,Georgia,19465
Pike,Georgia,18962
Polk,Georgia,42613
Pulaski,Georgia,11137
Putnam,Georgia,22119
Quitman,Georgia,2299
Rabun,Georgia,17137
Randolph,Georgia,6778
Richmond,Georgia,202518
Rockdale,Georgia,90896
Schley,Georgia,5257
Screven,Georgia,13966
Seminole,Georgia,8090
Spalding,Georgia,66703
Stephens,Georgia,25925
Stewart,Georgia,6621
Sumter,Georgia,29524
Talbot,Georgia,6195
Taliaferro,Georgia,1537
Tattnall,Georgia,25286
Taylor,Georgia,8020
Telfair,Georgia,15860
Terrell,Georgia,8531
Thomas,Georgia,44451
Tift,Georgia,40644
Toombs,Georgia,26830
Towns,Georgia,12037
Treutlen,Georgia,6901
Troup,Georgia,69922
Turner,Georgia,7985
Twiggs,Georgia,8120
Union,Georgia,24511
Upson,Georgia,26320
Walker,Georgia,69761
Walton,Georgia,94593
Ware,Georgia,35734
Warren,Georgia,5254
Washington,Georgia,20374
Wayne,Georgia,29927
Webster,Georgia,2607
Wheeler,Georgia,7855
White,Georgia,30798
Whitfield,Georgia,104628
Wilcox,Georgia,8635
Wilkes,Georgia,9777
Wilkinson,Georgia,8954
Worth,Georgia,20247
Guam[9],Guam,162742
Hawaii,Hawaiʻi,201513
"Honolulu, City and County of[p]",Hawaiʻi,974563
Kalawao,Hawaiʻi,86
Kauai,Hawaiʻi,72293
Maui,Hawaiʻi,167417
Ada,Idaho,481587
Adams,Idaho,4294
Bannock,Idaho,87808
Bear Lake,Idaho,6125
Benewah,Idaho,9298
Bingham,Idaho,46811
Blaine,Idaho,23021
Boise,Idaho,7831
Bonner,Idaho,45739
Bonneville,Idaho,119062
Boundary,Idaho,12245
Butte,Idaho,2597
Camas,Idaho,1106
Canyon,Idaho,229849
Caribou,Idaho,7155
Cassia,Idaho,24030
Clark,Idaho,845
Clearwater,Idaho,8756
Custer,Idaho,4315
Elmore,Idaho,27511
Franklin,Idaho,13876
Fremont,Idaho,13099
Gem,Idaho,18112
Gooding,Idaho,15179
Idaho,Idaho,16667
Jefferson,Idaho,29871
Jerome,Idaho,24412
Kootenai,Idaho,165697
Latah,Idaho,40108
Lemhi,Idaho,8027
Lewis,Idaho,3838
Lincoln,Idaho,5366
Madison,Idaho,39907
Minidoka,Idaho,21039
Nez Perce,Idaho,40408
Oneida,Idaho,4531
Owyhee,Idaho,11823
Payette,Idaho,23951
Power,Idaho,7681
Shoshone,Idaho,12882
Teton,Idaho,12142
Twin Falls,Idaho,86878
Valley,Idaho,11392
Washington,Idaho,10194
Adams,Illinois,65435
Alexander,Illinois,5761
Bond,Illinois,16426
Boone,Illinois,53544
Brown,Illinois,6578
Bureau,Illinois,32628
Calhoun,Illinois,4739
Carroll,Illinois,14305
Cass,Illinois,12147
Champaign,Illinois,209689
Christian,Illinois,32304
Clark,Illinois,15441
Clay,Illinois,13184
Clinton,Illinois,37562
Coles,Illinois,50621
Cook,Illinois,5150233
Crawford,Illinois,18667
Cumberland,Illinois,10766
DeKalb,Illinois,104897
DeWitt,Illinois,15638
Douglas,Illinois,19465
DuPage,Illinois,922921
Edgar,Illinois,17161
Edwards,Illinois,6395
Effingham,Illinois,34008
Fayette,Illinois,21336
Ford,Illinois,12961
Franklin,Illinois,38469
Fulton,Illinois,34340
Gallatin,Illinois,4828
Greene,Illinois,12969
Grundy,Illinois,51054
Hamilton,Illinois,8116
Hancock,Illinois,17708
Hardin,Illinois,3821
Henderson,Illinois,6646
Henry,Illinois,48913
Iroquois,Illinois,27114
Jackson,Illinois,56750
Jasper,Illinois,9610
Jefferson,Illinois,37684
Jersey,Illinois,21773
Jo Daviess,Illinois,21235
Johnson,Illinois,12417
Kane,Illinois,532403
Kankakee,Illinois,109862
Kendall,Illinois,128990
Knox,Illinois,49699
Lake,Illinois,696535
LaSalle,Illinois,108669
Lawrence,Illinois,15678
Lee,Illinois,34096
Livingston,Illinois,35648
Logan,Illinois,28618
McDonough,Illinois,29682
McHenry,Illinois,307774
McLean,Illinois,171517
Macon,Illinois,104009
Macoupin,Illinois,44926
Madison,Illinois,262966
Marion,Illinois,37205
Marshall,Illinois,11438
Mason,Illinois,13359
Massac,Illinois,13772
Menard,Illinois,12196
Mercer,Illinois,15437
Monroe,Illinois,34637
Montgomery,Illinois,28414
Morgan,Illinois,33658
Moultrie,Illinois,14501
Ogle,Illinois,50643
Peoria,Illinois,179179
Perry,Illinois,20916
Piatt,Illinois,16344
Pike,Illinois,15561
Pope,Illinois,4177
Pulaski,Illinois,5335
Putnam,Illinois,5739
Randolph,Illinois,31782
Richland,Illinois,15513
Rock Island,Illinois,141879
St. Clair,Illinois,259686
Saline,Illinois,23491
Sangamon,Illinois,194672
Schuyler,Illinois,6768
Scott,Illinois,4951
Shelby,Illinois,21634
Stark,Illinois,5342
Stephenson,Illinois,44498
Tazewell,Illinois,131803
Union,Illinois,16653
Vermilion,Illinois,75758
Wabash,Illinois,11520
Warren,Illinois,16844
Washington,Illinois,13887
Wayne,Illinois,16215
White,Illinois,13537
Whiteside,Illinois,55175
Will,Illinois,690743
Williamson,Illinois,66597
Winnebago,Illinois,282572
Woodford,Illinois,38459
Adams,Indiana,35777
Allen,Indiana,379299
Bartholomew,Indiana,83779
Benton,Indiana,8748
Blackford,Indiana,11758
Boone,Indiana,67843
Brown,Indiana,15092
Carroll,Indiana,20257
Cass,Indiana,37689
Clark,Indiana,118302
Clay,Indiana,26225
Clinton,Indiana,32399
Crawford,Indiana,10577
Daviess,Indiana,33351
Dearborn,Indiana,49458
Decatur,Indiana,26559
DeKalb,Indiana,43475
Delaware,Indiana,114135
Dubois,Indiana,42736
Elkhart,Indiana,206341
Fayette,Indiana,23102
Floyd,Indiana,78522
Fountain,Indiana,16346
Franklin,Indiana,22758
Fulton,Indiana,19974
Gibson,Indiana,33659
Grant,Indiana,65769
Greene,Indiana,31922
Hamilton,Indiana,338011
Hancock,Indiana,78168
Harrison,Indiana,40515
Hendricks,Indiana,170311
Henry,Indiana,47972
Howard,Indiana,82544
Huntington,Indiana,36520
Jackson,Indiana,44231
Jasper,Indiana,33562
Jay,Indiana,20436
Jefferson,Indiana,32308
Jennings,Indiana,27735
Johnson,Indiana,158167
Knox,Indiana,36594
Kosciusko,Indiana,79456
LaGrange,Indiana,39614
Lake,Indiana,485493
LaPorte,Indiana,109888
Lawrence,Indiana,45370
Madison,Indiana,129569
Marion,Indiana,964582
Marshall,Indiana,46258
Martin,Indiana,10255
Miami,Indiana,35516
Monroe,Indiana,148431
Montgomery,Indiana,38338
Morgan,Indiana,70489
Newton,Indiana,13984
Noble,Indiana,47744
Ohio,Indiana,5875
Orange,Indiana,19646
Owen,Indiana,20799
Parke,Indiana,16937
Perry,Indiana,19169
Pike,Indiana,12389
Porter,Indiana,170389
Posey,Indiana,25427
Pulaski,Indiana,12353
Putnam,Indiana,37576
Randolph,Indiana,24665
Ripley,Indiana,28324
Rush,Indiana,16581
St. Joseph,Indiana,271826
Scott,Indiana,23873
Shelby,Indiana,44729
Spencer,Indiana,20277
Starke,Indiana,22995
Steuben,Indiana,34594
Sullivan,Indiana,20669
Switzerland,Indiana,10751
Tippecanoe,Indiana,195732
Tipton,Indiana,15148
Union,Indiana,7054
Vanderburgh,Indiana,181451
Vermillion,Indiana,15498
Vigo,Indiana,107038
Wabash,Indiana,30996
Warren,Indiana,8265
Warrick,Indiana,62998
Washington,Indiana,28036
Wayne,Indiana,65884
Wells,Indiana,28296
White,Indiana,24102
Whitley,Indiana,33964
Adair,Iowa,7152
Adams,Iowa,3602
Allamakee,Iowa,13687
Appanoose,Iowa,12426
Audubon,Iowa,5496
Benton,Iowa,25645
Black Hawk,Iowa,131228
Boone,Iowa,26234
Bremer,Iowa,25062
Buchanan,Iowa,21175
Buena Vista,Iowa,19620
Butler,Iowa,14439
Calhoun,Iowa,9668
Carroll,Iowa,20165
Cass,Iowa,12836
Cedar,Iowa,18627
Cerro Gordo,Iowa,42450
Cherokee,Iowa,11235
Chickasaw,Iowa,11933
Clarke,Iowa,9395
Clay,Iowa,16016
Clayton,Iowa,17549
Clinton,Iowa,46429
Crawford,Iowa,16820
Dallas,Iowa,93453
Davis,Iowa,9000
Decatur,Iowa,7870
Delaware,Iowa,17011
Des Moines,Iowa,38967
Dickinson,Iowa,17258
Dubuque,Iowa,97311
Emmet,Iowa,9208
Fayette,Iowa,19650
Floyd,Iowa,15642
Franklin,Iowa,10070
Fremont,Iowa,6960
Greene,Iowa,8888
Grundy,Iowa,12232
Guthrie,Iowa,10689
Hamilton,Iowa,14773
Hancock,Iowa,10630
Hardin,Iowa,16846
Harrison,Iowa,14049
Henry,Iowa,19954
Howard,Iowa,9158
Humboldt,Iowa,9558
Ida,Iowa,6860
Iowa,Iowa,16184
Jackson,Iowa,19439
Jasper,Iowa,37185
Jefferson,Iowa,18295
Johnson,Iowa,151140
Jones,Iowa,20681
Keokuk,Iowa,10246
Kossuth,Iowa,14813
Lee,Iowa,33657
Linn,Iowa,226706
Louisa,Iowa,11035
Lucas,Iowa,8600
Lyon,Iowa,11755
Madison,Iowa,16338
Mahaska,Iowa,22095
Marion,Iowa,33253
Marshall,Iowa,39369
Mills,Iowa,15109
Mitchell,Iowa,10586
Monona,Iowa,8615
Monroe,Iowa,7707
Montgomery,Iowa,9917
Muscatine,Iowa,42664
O'Brien,Iowa,13753
Osceola,Iowa,5958
Page,Iowa,15107
Palo Alto,Iowa,8886
Plymouth,Iowa,25177
Pocahontas,Iowa,6619
Polk,Iowa,490161
Pottawattamie,Iowa,93206
Poweshiek,Iowa,18504
Ringgold,Iowa,4894
Sac,Iowa,9721
Scott,Iowa,172943
Shelby,Iowa,11454
Sioux,Iowa,34855
Story,Iowa,97117
Tama,Iowa,16854
Taylor,Iowa,6121
Union,Iowa,12241
Van Buren,Iowa,7044
Wapello,Iowa,34969
Warren,Iowa,51466
Washington,Iowa,21965
Wayne,Iowa,6441
Webster,Iowa,35904
Winnebago,Iowa,10354
Winneshiek,Iowa,19991
Woodbury,Iowa,103107
Worth,Iowa,7381
Wright,Iowa,12562
Allen,Kansas,12369
Anderson,Kansas,7858
Atchison,Kansas,16073
Barber,Kansas,4427
Barton,Kansas,25779
Bourbon,Kansas,14534
Brown,Kansas,9564
Butler,Kansas,66911
Chase,Kansas,2648
Chautauqua,Kansas,3250
Cherokee,Kansas,19939
Cheyenne,Kansas,2657
Clark,Kansas,1994
Clay,Kansas,8002
Cloud,Kansas,8786
Coffey,Kansas,8179
Comanche,Kansas,1700
Cowley,Kansas,34908
Crawford,Kansas,38818
Decatur,Kansas,2827
Dickinson,Kansas,18466
Doniphan,Kansas,7600
Douglas,Kansas,122259
Edwards,Kansas,2798
Elk,Kansas,2530
Ellis,Kansas,28553
Ellsworth,Kansas,6102
Finney,Kansas,36467
Ford,Kansas,33619
Franklin,Kansas,25544
Geary,Kansas,31670
Gove,Kansas,2636
Graham,Kansas,2482
Grant,Kansas,7150
Gray,Kansas,5988
Greeley,Kansas,1232
Greenwood,Kansas,5982
Hamilton,Kansas,2539
Harper,Kansas,5436
Harvey,Kansas,34429
Haskell,Kansas,3968
Hodgeman,Kansas,1794
Jackson,Kansas,13171
Jefferson,Kansas,19043
Jewell,Kansas,2879
Johnson,Kansas,602401
Kearny,Kansas,3838
Kingman,Kansas,7152
Kiowa,Kansas,2475
Labette,Kansas,19618
Lane,Kansas,1535
Leavenworth,Kansas,81758
Lincoln,Kansas,2962
Linn,Kansas,9703
Logan,Kansas,2794
Lyon,Kansas,33195
McPherson,Kansas,28542
Marion,Kansas,11884
Marshall,Kansas,9707
Meade,Kansas,4033
Miami,Kansas,34237
Mitchell,Kansas,5979
Montgomery,Kansas,31829
Morris,Kansas,5620
Morton,Kansas,2587
Nemaha,Kansas,10231
Neosho,Kansas,16007
Ness,Kansas,2750
Norton,Kansas,5361
Osage,Kansas,15949
Osborne,Kansas,3421
Ottawa,Kansas,5704
Pawnee,Kansas,6414
Phillips,Kansas,5234
Pottawatomie,Kansas,24383
Pratt,Kansas,9164
Rawlins,Kansas,2530
Reno,Kansas,61998
Republic,Kansas,4636
Rice,Kansas,9537
Riley,Kansas,74232
Rooks,Kansas,4920
Rush,Kansas,3036
Russell,Kansas,6856
Saline,Kansas,54224
Scott,Kansas,4823
Sedgwick,Kansas,516042
Seward,Kansas,21428
Shawnee,Kansas,176875
Sheridan,Kansas,2521
Sherman,Kansas,5917
Smith,Kansas,3583
Stafford,Kansas,4156
Stanton,Kansas,2006
Stevens,Kansas,5485
Sumner,Kansas,22836
Thomas,Kansas,7777
Trego,Kansas,2803
Wabaunsee,Kansas,6931
Wallace,Kansas,1518
Washington,Kansas,5406
Wichita,Kansas,2119
Wilson,Kansas,8525
Woodson,Kansas,3138
Wyandotte,Kansas,165429
Adair,Kentucky,19202
Allen,Kentucky,21315
Anderson,Kentucky,22747
Ballard,Kentucky,7888
Barren,Kentucky,44249
Bath,Kentucky,12500
Bell,Kentucky,26032
Boone,Kentucky,133581
Bourbon,Kentucky,19788
Boyd,Kentucky,46718
Boyle,Kentucky,30060
Bracken,Kentucky,8303
Breathitt,Kentucky,12630
Breckinridge,Kentucky,20477
Bullitt,Kentucky,81676
Butler,Kentucky,12879
Caldwell,Kentucky,12747
Calloway,Kentucky,39001
Campbell,Kentucky,93584
Carlisle,Kentucky,4760
Carroll,Kentucky,10631
Carter,Kentucky,26797
Casey,Kentucky,16159
Christian,Kentucky,70461
Clark,Kentucky,36263
Clay,Kentucky,19901
Clinton,Kentucky,10218
Crittenden,Kentucky,8806
Cumberland,Kentucky,6614
Daviess,Kentucky,101511
Edmonson,Kentucky,12150
Elliott,Kentucky,7517
Estill,Kentucky,14106
Fayette,Kentucky,323152
Fleming,Kentucky,14581
Floyd,Kentucky,35589
Franklin,Kentucky,50991
Fulton,Kentucky,5969
Gallatin,Kentucky,8869
Garrard,Kentucky,17666
Grant,Kentucky,25069
Graves,Kentucky,37266
Grayson,Kentucky,26427
Green,Kentucky,10941
Greenup,Kentucky,35098
Hancock,Kentucky,8722
Hardin,Kentucky,110958
Harlan,Kentucky,26010
Harrison,Kentucky,18886
Hart,Kentucky,19035
Henderson,Kentucky,45210
Henry,Kentucky,16126
Hickman,Kentucky,4380
